,Heart - Left Ventricle_GTExTPM,Kidney - Cortex_GTExTPM,Liver_GTExTPM,Lung_GTExTPM,Nerve - Tibial_GTExTPM,Ovary_GTExTPM,Pancreas_GTExTPM,Skin - Not Sun Exposed (Suprapubic)_GTExTPM,Small Intestine - Terminal Ileum_GTExTPM,Spleen_GTExTPM,Testis_GTExTPM,Whole Blood_GTExTPM,humanScore_Exomiser,mouseScore_Exomiser,fishScore_Exomiser,ppiScore_Exomiser,Pituitary_GTExTPM,Adrenal Gland_GTExTPM,Brain - Amygdala_GTExTPM,Cells - EBV-transformed lymphocytes_GTExTPM,Cells - Cultured fibroblasts_GTExTPM,HIPred,pLI_ExAC,SDI,GDI_Score,RVIS_Score,SignalValue_H3k4me1_median,CNVs_ExAC,SignalValue_H3k4me3_median,label_encoded
244,18.7913,59.7939,40.5938,72.4708,76.5978,80.0303,16.3437,57.4593,33.696,42.5257,73.9429,43.3132,0.0,0.0,0.0,0.0,111.435,48.6561,31.2668,46.8043,60.2616,0.553264439,0.515502016999664,9.51308986,126.57588,0.24,7.79533,0.0,24.1943,2
245,21.0714,18.7412,15.1456,79.9501,66.6982,48.2042,11.2886,560.575,39.4905,47.7795,39.559,30.6262,0.0,0.0,0.0,0.0,57.2603,33.6513,24.4015,50.6044,135.276,0.47846514,0.859651068829934,6.79391957,36.32886,-0.12,8.13008,2.52,25.4868,2
246,20.4585,20.3044,31.9613,43.5889,35.8958,29.5024,11.3655,30.2335,136.627,50.8655,104.849,40.6395,0.678776209,0.0,0.0,0.0,37.2126,100.905,13.3641,15.6579,20.1208,0.229989916,2.90054760621977e-10,3.96507708,296.55679,-0.84,6.92754,20.0,14.3524,2
247,2.97928,1.13114,94.4678,7.58664,16.5675,1.70919,0.782134,161.542,4.42228,16.8132,65.5257,111.558,0.0,0.0,0.0,0.0,1.76187,3.73817,2.15472,11.1684,6.65048,0.387926191,7.51042690362332e-08,6.51684599,327.81893,0.35,8.37252,3.0,9.39295,2
248,0.093222,0.248999,0.0127594,0.0985038,0.140424,0.0607902,0.0164562,0.150219,0.0934751,0.0556657,0.705214,0.00621245,0.0,0.0,0.0,0.0,2.31634,0.141281,1.503,0.936215,2.32202,0.667486966,0.738016171796638,16.74791059,340.01459,-1.04,9.83867,8.0,5.62139,2
249,6.49117,29.9969,419.48,227.141,118.353,39.6819,18.2213,412.144,39.5148,164.847,60.1948,3.68006,0.845154255,0.0,0.0,0.0,23.1397,1544.19,27.2496,107.23,89.5761,0.852899194,0.969136893394347,8.66833437,93.19943,-0.82,4.55894,17.0,19.1792,2
250,0.0180505,0.689698,6.91426,0.272481,0.255598,15.098,2.75448,0.206343,0.108821,16.9421,5.38436,0.0248484,0.0,0.0,0.0,0.0,2.12213,0.346009,0.411054,0.631632,0.13893,0.111908376,4.75351023968218e-06,4.44319214,144.88041,0.71,4.57685,20.65,14.05673475,2
251,12.2457,0.0,0.0264256,0.0,0.0,0.0,0.0,0.0,0.200365,0.0,1.27223,0.0,0.0,0.0,0.0,0.0,0.236741,0.0,0.0921394,0.0,0.0,0.238498077,1.11557777202949e-06,2.88105581,854.22881,0.2,7.77146055,0.0,18.283089299999997,2
253,3.31807,4.18677,2.14408,9.02144,26.5833,12.7376,2.04174,5.17288,7.14457,2.41459,14.6059,0.128292,0.0,0.0,0.0,0.0,8.53144,13.1096,8.94191,0.860721,10.4962,0.636561334,4.26871314762917e-06,1.99986551,168.08416,-0.7862,11.8911,3.0,10.3326,2
254,4.72819,6.47743,3.478,20.6661,16.0439,44.1414,2.76562,5.60542,8.33907,18.1188,37.4754,4.91702,0.0,0.0,0.0,0.0,84.4199,19.0516,101.963,4.86521,19.4218,0.613231182,0.996592666400884,25.71591157,53.37804,-0.67,6.36987,2.0,10.217835,2
255,4.56567,0.151189,0.118808,0.0693571,0.0853325,147.899,3.74461,0.236049,0.0783588,0.154811,23.2657,0.0473109,0.542326145,0.0,0.0,0.0,516.18,603.989,0.318737,0.0531402,0.0493341,0.812062204,0.400971249953363,1.9977004,603.54115,0.55,9.093772799999996,2.0,14.9203744,2
256,0.810398,0.012331,0.0,0.0424951,0.0590135,0.201521,0.0,0.0380617,0.0748123,0.0173449,45.3507,0.0,0.0,0.0,0.0,0.0,0.0628977,0.865721,0.333644,0.0130114,0.0,0.275872409,0.0039747894101045,0.0,266.1821,0.35,13.5879,3.0,8.09223,2
257,27.3006,31.6277,18.8926,50.9846,69.7061,57.9605,19.0583,51.3926,39.407,46.5098,57.7699,24.8242,0.0,0.0,0.0,0.0,58.3974,38.9758,40.1026,76.1059,82.1506,0.661956608,0.999727953382784,5.89262438,24.74494,-0.43,8.30966,4.0,30.6243,2
258,3.56053,4.74653,3.51797,10.8474,12.4889,16.8172,3.4681,12.5254,11.1223,13.6762,19.9504,2.65117,0.0,0.0,0.0,0.0,12.1522,9.55117,5.18691,24.6545,21.9049,0.608066559,0.547006457229025,5.82694928,57.66511,0.28,7.35102,5.0,39.7877,2
259,0.438311,2.21645,1.14982,1.60209,3.83318,2.83874,1.29149,66.0372,1.57779,4.19697,3.99153,1.33254,0.0,0.0,0.0,0.0,9.9862,1.35902,3.31494,1.35286,1.14984,0.303136498,2.27540813731848e-07,2.95412667,43.79426,-0.09,11.55295,2.0,10.94836,2
260,13.8903,10.4943,25.7614,36.5299,26.5796,24.9016,9.14776,26.4828,29.6149,33.9978,14.351,13.2108,0.0,0.0,0.0,0.0,16.8692,15.147,5.91588,34.947,40.582,0.767620981,0.999114700689224,1.94162869,212.24455,-0.8,9.66482,2.0,3.69976,2
262,0.208591,0.569435,0.228034,5.11919,1.24129,0.95388,0.167338,8.88637,1.42568,0.0746846,1.69558,0.028434,0.413567282,0.0,0.0,0.0,0.289336,1.60736,0.0780979,0.0572924,0.0395334,0.241154462,1.8967607743652e-37,4.94960872,1216.76018,0.23,7.13467,18.65,1.81073,2
264,0.510717,1.24091,0.334938,5.46253,3.44775,1.75861,0.873616,3.01277,3.65476,2.77553,22.529,2.96001,0.0,0.0,0.0,0.0,6.06481,1.41514,1.15091,2.39793,4.46131,0.247530133,0.0618037276513494,3.76132423,27.51871,-0.18,10.3824,1.0,26.2702,2
265,86.966,42.5419,39.8279,73.6786,41.4364,23.4643,20.559,27.3651,33.9852,44.2658,40.9644,12.2379,0.0,0.0,0.0,0.0,39.6245,37.9632,26.7475,14.878,30.7878,0.799537539,0.736744916251957,3.89614391,17.73708,-0.32,7.99006,3.47,11.126,2
267,7.62232,7.23913,4.48889,16.0033,20.7693,30.5585,15.4423,16.0724,10.8005,9.93603,22.1652,7.42858,0.0,0.0,0.0,0.0,10.2504,14.465,5.37863,19.0187,19.6665,0.267443687,5.181115011305969e-09,2.93471609,143.40049,-0.75,8.65402,5.0,14.7706,2
